### based on codes available for free here: http://vag-codes.info/files/options/vag-option-codes.xlsx
### VAG option codes		http://vag-codes.info/
### 14288 option codes with description		
### 297 new codes		
### updated 13.01.2018		
### code	group	description
#38	MOT	4-cyl. turbo dies. eng. 1.6 l/92 kW (4V)TDI common rail ABT power enhancement
#7U	STR	Engine start and remote start feature without keyless locking and starting system
#AT	BRS	
#B1	BRS	ESC special vehicle 1
#B2	BRS	ESC special vehicle 2
#B3	BRS	ESC special vehicle 3
#B4	BRS	ESC special vehicle 4
#B5	BRS	ESC special vehicle 5
#B6	BRS	ESC special vehicle 6
#B7	BRS	ESC special vehicle 7
#B8	BRS	ASR application matched to special-purpose vehicle 1
#B9	BRS	ASR application matched to special-purpose vehicle 2
#BA	BRS	ESC special vehicle 8
#BB	BRS	ESC special vehicle 9
#BC	BRS	ESC special vehicle 10
#BD	BRS	ESC special vehicle 11
#BE	BRS	ESC special vehicle 12
#BF	BRS	ESC special vehicle 13
#BG	BRS	ESC special vehicle 14
#BH	BRS	ESC special vehicle 15
#BJ	BRS	ESC special vehicle 16
#BK	BRS	ESC special vehicle 17
#BL	BRS	ESC special vehicle 18
#BM	BRS	ESC special vehicle 19
#BN	BRS	ESC special vehicle 20
#BP	BRS	ESC special vehicle 21
#D0	AHV	Trailer hitch aftermarket equipment, removable and lockable
#D1	AHV	Trailer hitch aftermarket equipment, mechanically swiveling, manual
#D2	AHV	Trailer hitch aftermarket equipment, power-folding
#D3	AHV	Trailer hitch aftermarket equipment, USA
#D4	AHV	Trailer hitch aftermarket equipment, Australia
#D5	AHV	Trailer hitch aftermarket equipment, mechanically swiveling with reduced towing capacity
#D6	AHV	Trailer hitch aftermarket equipment, removable with reduced ventilation capacity
#D7	AHV	Trailer hitch aftermarket equipment, power-swiveling with reduced ventilationcapacity
#D8	AHV	Trailer hitch aftermarket equipment, rigid
#D9	AHV	Trailer hitch aftermarket equipment, power-swiveling with maneuvering system
#E1	AHV	Trailer hitch aftermarket equipment, electr. swiveling w/ reduced ventilationcapacity and maneuvering system
#E2	AHV	Trailer hitch aftermarket equipment, without trailer control module
#E3	AHV	Retrofitting of trailer hitch, with reduced ventilation capacity for Australia/New Zealand
#H1	REI	New coding of instrument cluster due to changed tires, new 245/75 R16
#H2	REI	New coding of instrument cluster due to changed tires, new 215/85 R16
#H3	REI	New coding of instrument cluster due to changed tires, new 285/75 R16
#I2	TKV	Recoding of 4I2 with activated auto-lock feature
#I3	TKV	Recoding of 4k3 with activated auto-lock feature
#J1	HES	Coding for rear spoiler fixed spoiler
#K1	FLS	Recoding 8K1 deactivation separate daytime running lights
#K3	FLS	Recoding 8K3 deactivation separate daytime running lights
#L1	ONL	Online Connectivity Unit deactivation without head unit coding
#L5	ONL	Online Connectivity Unit deactivation with head unit coding
#M9	ZUH	Retrofitting of fuel-fired parking heater with radio remote control
#N3	SWS	Reactivation of the rain sensor
#SK	SBR	LED tail lamp assembly as aftermarket equipment
#U2	STR	Aftermarket equipment remote start feature recoding of 7U2
#W3	CPD	Recoding of IW3
#X5	ESZ	Recoding GX5, decoding of the warning signal
#XI	ASE	Ext. mirror, auto-dimming, el. folding/ adjust., separately heated, w/ front pass. exterior mirror lowering function
#ZP	BAV	Disk brakes in front 15-inch " PC57-25/14 Jurid 200-FF
T73	GMO	3-cylinder SI engine 1.2 l unit 03D.B (aluminum)
T74	GMO	4-cylinder SI engine 1.4 l unit 03C.F (aluminum)
T75	GMO	4-cylinder SI engine 1.6 l unit 03C.G (aluminum)
T76	GMO	4-cylinder SI engine 2.0 l unit 06D.C (aluminum)
T77	GMO	10-cylinder SI engine 5.0 l unit 07L.A (aluminum)
T78	GMO	6-cylinder diesel engine 3.0 l unit 07G.Z (aluminum)
T79	GMO	8-cylinder SI engine 4.2 l unit 079.C (aluminum)
T7A	GMO	5-cylinder diesel engine 2.4 l unit 074.2
T7B	GMO	5-cylinder diesel engine 2.4 l unit 074.3
T7C	GMO	4-cylinder SI engine 1.5 l unit 04E.8
T7D	GMO	5-cylinder diesel engine 2.4 l unit 074.4
T7E	GMO	6-cylinder SI engine 2.8 l unit 078.1
T7F	GMO	6-cylinder SI engine 2.8 l unit 078.2
T7G	GMO	6-cylinder SI engine 2.6 l unit 078.3
T7H	GMO	8-cylinder SI engine 3.6 l unit 077.1 (aluminum)
T7I	GMO	4-cylinder SI engine 1.2 l unit 04E.K
T7J	GMO	8-cylinder SI engine 4.2 l unit 077.4 (aluminum)
T7K	GMO	5-cylinder diesel engine 2.5 l unit 074.5
T7L	GMO	8-cylinder SI engine 3.7 l unit 077.7 (aluminum)
T7M	GMO	3-cyl. diesel engine 1.4 l unit 04B.D
T7N	GMO	6-cylinder diesel engine 2.4 l unit 075.1
T7P	GMO	6-cylinder SI engine 2.4 l unit 073.1
T7Q	GMO	6-cylinder SI engine 2.4 l unit 073.2
T7R	GMO	6-cylinder diesel engine 2.4 l unit 075.2
T7S	GMO	8-cylinder SI engine 4.2 l unit 077.2 (aluminum)
T7T	GMO	6-cylinder SI engine 2.4 l unit 078.7
T7U	GMO	6-cylinder diesel engine 2.4 l unit 075.6
T7V	GMO	6-cylinder diesel engine 3.0 l unit 059.N
T7W	GMO	8-cylinder SI engine 4.2 l unit 077.5 (aluminum)
T7X	GMO	6-cylinder SI engine 2.8 l unit 078.5
T7Y	GMO	6-cylinder SI engine 2.6 l unit 078.6
T7Z	GMO	6-cylinder SI engine 2.7 l unit 078.8
T80	GMO	10-cylinder diesel engine 5.0 l unit 07Z.2 (aluminum)
T81	GMO	8-cylinder SI engine 4.2 l unit 077.B (aluminum)
T82	GMO	8-cylinder SI engine 3.7 l unit 077.C (aluminum)
T83	GMO	8-cylinder SI engine 4.3 l unit 07D.2 (aluminum)
T85	GMO	5-cylinder diesel engine 2.5 l unit 070.F
T86	GMO	5-cylinder diesel engine 2.5 l unit 070.G (aluminum)
T87	GMO	6-cylinder SI engine 3.0 l unit 0PB.B
T88	GMO	8-cylinder SI engine 4.2 l unit 077.D (aluminum)
T89	GMO	6-cylinder SI engine 2.7 l unit 0PB.C
T8A	GMO	4-cylinder SI engine 2.0 l unit 037.K
T8B	GMO	4-cylinder SI engine 1.8 l unit 058.D
T8C	GMO	4-cylinder SI engine 1.8 l unit 06A.C
T8D	GMO	4-cylinder diesel engine 1.9 l Unit 028.N
T8E	GMO	10-cylinder SI engine 5.2 l unit 07L.Z (aluminum)
T8F	GMO	4-cylinder SI engine 1.0 l unit 030.Q (aluminum)
T8G	GMO	4-cylinder SI engine 1.3 l unit 047.C
T8H	GMO	4-cylinder SI engine 1.4 l unit 030.R (aluminum)
T8I	GMO	6-cylinder SI engine 3.0 l unit 0P1.E
T8K	GMO	5-cylinder SI engine 2.5 l unit 07K.1
T8L	GMO	4-cylinder SI engine 1.6 l unit 06A.3
T8M	GMO	6-cylinder SI engine 4.0 l unit 0PB.3
T8N	GMO	6-cylinder SI engine 2.4 l unit 078.4
T8P	GMO	5-cylinder diesel engine 2.5 l unit 074.1
T8Q	GMO	5-cylinder diesel engine 2.5 l unit 074.7
T8R	GMO	5-cylinder SI engine 2.3 l unit 071.A
T8S	GMO	5-cylinder diesel engine 2.5 l unit 074.8
T8T	GMO	8-cylinder SI engine 4.2 l unit 079.A (aluminum)
T8U	GMO	4-cylinder diesel engine 1.9 l unit 038.G
T8V	GMO	8-cylinder SI engine 4.2 l unit 077.3 (aluminum)
T8W	GMO	8-cylinder SI engine 4.2 l unit 077.8 (aluminum)
T8X	GMO	8-cylinder SI engine 3.7 l unit 077.6 (aluminum)
T8Z	GMO	6-cylinder SI engine 2.8 l unit 06E.J
T90	GMO	Engine for engine PR code D9L
T91	GMO	Engine for engine PR code D9K
T92	GMO	4-cylinder SI engine 1.0 l unit 030.T
T93	GMO	4-cylinder SI engine 1.0 l unit 036.M
T94	GMO	4-cylinder SI engine 1.6 l unit 036.N
T96	GMO	4-cylinder diesel engine 1.9 l unit 038.Y
T97	GMO	4-cylinder SI engine 1.0 l unit 030.U
T98	GMO	4-cylinder diesel engine 2.0 l unit 05L.A
T99	GMO	4-cylinder SI engine 1.4 l unit 036.P (aluminum)
T9A	GMO	4-cylinder SI engine 1.0 l unit 036.H
T9B	GMO	4-cylinder SI engine 1.4 l unit 04E.F
T9C	GMO	Electric motor unit 0EA.D
T9D	GMO	4-cylinder SI engine 1.4 l unit 04E.P
T9E	GMO	6-cylinder SI engine 3.8 l unit 0PB.D
T9F	GMO	4-cylinder SI engine 2.0 l unit 06A.H
T9G	GMO	4-cylinder diesel engine 2.0 l unit 03G.A
T9H	GMO	8-cylinder SI engine 4.0 l unit 07D.1 (aluminum)
T9I	GMO	6-cylinder SI engine 3.0 l unit 06M.C
T9J	GMO	4-cylinder diesel engine 1.9 l unit 038.K
T9K	GMO	4-cylinder SI engine 1.8 l unit 06B.H
T9L	GMO	5-cylinder diesel engine 2.5 l unit 070.B (aluminum)
T9M	GMO	4-cylinder diesel engine 2.0 l unit 03G.2
T9N	GMO	6-cylinder SI engine 3.2 l unit 022.U
T9P	GMO	4-cylinder SI engine 1.0 l unit 030.N
T9Q	GMO	4-cylinder SI engine 1.0 l unit 030.Y
T9S	GMO	Electric motor unit 0EB.A
T9T	GMO	6-cylinder SI engine 2.8 l unit 022.A
T9U	GMO	Electric motor unit 0EA.C
T9V	GMO	4-cylinder diesel engine 1.9 l Unit 038.N
T9W	GMO	4-cylinder diesel engine 2.0 l unit 03A.A
T9X	GMO	Components for base engine type M111 E23
T9Y	GMO	Components for base engine type TCA 4.07
T9Z	GMO	Electric motor, unit 0EA.B
TA0	GMO	6-cylinder SI engine 3.6 l unit 03H.Z
TA1	GMO	6-cylinder diesel engine 2.7 l unit 059.F
TA2	GMO	4-cylinder SI engine 2.0 l unit 06F.D
TA3	GMO	12-cylinder SI engine 6.0 l unit 07P.E
TA4	GMO	3-cylinder diesel engine 1.4 l unit 045.G
TA5	GMO	4-cylinder SI engine 1.6 l unit 050.D
TA6	GMO	4-cylinder SI engine 1.4 l unit 030.5
TA7	GMO	5-cylinder diesel engine 2.5 l unit 076.A
TA8	GMO	4-cylinder SI engine 1.8 l unit 06K.B
TA9	GMO	4-cylinder SI engine 2.0 l unit 06K.J
TB0	GMO	4-cylinder SI engine 1.0 l unit 030.W
TB1	GMO	8-cylinder diesel engine 4.2 l unit 057.C
TB2	GMO	4-cylinder SI engine 2.0 l unit 06G.B
TB3	GMO	4-cylinder diesel engine 2.0 l unit 03G.B
TB4	GMO	4-cylinder SI engine 1.6 l unit 041.T
TB5	GMO	4-cylinder SI engine 1.8 l unit 050.E
TB6	GMO	6-cylinder SI engine 3.0 l unit 03H.K
TB7	GMO	5-cylinder diesel engine 2.5 l unit 070.K (aluminum)
TB8	GMO	4-cylinder SI engine 2.0 l unit 06G.E
TB9	GMO	5-cylinder SI engine 2.5 l unit 07K.3
TC0	GMO	4-cylinder SI engine 1.6 l unit 032.5
TC1	GMO	4-cylinder SI engine 2.0 l unit 026.W
TC2	GMO	4-cylinder SI engine 1.6 l unit 06A.8
TC3	GMO	4-cylinder diesel engine 2.0 l unit 03G.E
TC4	GMO	4-cylinder SI engine 1.8 l unit 041.U
TC5	GMO	4-cylinder SI engine 1.6 l unit 050.F
TC6	GMO	6-cylinder SI engine 3.0 l unit 06E.C
TC7	GMO	5-cylinder diesel engine 2.5 l unit 076.B
TC8	GMO	4-cylinder SI engine 2.0 l unit 06H.K
TC9	GMO	12-cylinder SI engine 6.5 l unit 07M.D
TD0	GMO	4-cylinder diesel engine 1.9 l unit 03G.5
TD1	GMO	4-cylinder diesel engine 2.0 l unit 04L.C
TD2	GMO	4-cylinder SI engine 1.6 l unit 06A.7
TD3	GMO	4-cylinder SI engine 2.0 l unit 06K.M
TD4	GMO	4-cylinder SI engine 1.6 l unit 041.S
TD5	GMO	12-cylinder diesel engine 6.0 l unit 05A.A
TD6	GMO	4-cylinder SI engine 2.0 l unit 06J.D
TD7	GMO	4-cylinder SI engine 2.0 l unit 06K.N
TD8	GMO	4-cylinder SI engine 2.0 l unit 06G.H
TD9	GMO	6-cylinder SI engine 3.0 l unit 06E.L
TE0	GMO	4-cylinder SI engine 1.4 l unit 030.K
TE1	GMO	6-cylinder diesel engine 3.0 l unit 059.G
TE2	GMO	4-cylinder SI engine 2.0 l unit 06G.C
TE3	GMO	6-cylinder diesel engine 3.0 l unit 03K.1
TE4	GMO	4-cylinder SI engine 1.8 l unit 041.R
TE5	GMO	8-cylinder diesel engine 4.2 l unit 057.D
TE6	GMO	4-cylinder SI engine 1.8 l unit 06J.3
TE7	GMO	10-cylinder diesel engine 5.0 l unit 07Z.3 (aluminum)
TE8	GMO	6-cylinder SI engine 3.0 l unit 06E.G
TE9	GMO	6-cylinder SI engine 3.0 l unit 06E.M
TF0	GMO	4-cylinder SI engine 1.4 l unit 03C.H (aluminum)
TF1	GMO	6-cylinder diesel engine 3.0 l unit 059.H
TF2	GMO	4-cylinder SI engine 1.8 l unit 06B.N
TF3	GMO	4-cylinder diesel engine 1.6 l unit 03L.1
TF4	GMO	3-cylinder diesel engine 1.4 l unit 045.F
TF5	GMO	4-cylinder SI engine 1.8 l unit 06K.D
TF6	GMO	4-cylinder SI engine 1.8 l unit 06H.F
TF7	GMO	10-cylinder diesel engine 5.0 l unit 07Z.4 (aluminum)
TF8	GMO	6-cylinder SI engine 2.5 l unit 06E.H
TF9	GMO	6-cylinder SI engine 3.0 l unit 06E.N
TG0	GMO	4-cylinder diesel engine 1.9 l unit 03G.6
TG1	GMO	6-cylinder diesel engine 3.0 l unit 059.J
TG2	GMO	4-cylinder SI engine 1.8 l unit 06B.P
TG3	GMO	4-cylinder diesel engine 2.0 l unit 03L.A
TG4	GMO	4-cylinder SI engine 1.6 l unit 040.4
TG5	GMO	4-cylinder SI engine 1.6 l unit 04E.2
TG6	GMO	4-cylinder SI engine 2.0 l unit 06H.G
TG7	GMO	5-cylinder diesel engine 2.5 l unit 070.L (aluminum)
TG8	GMO	4-cylinder SI engine 2.0 l unit 06G.X
TG9	GMO	4-cylinder diesel engine 2.0 l unit 03L.W
TH0	GMO	6-cylinder SI engine 3.6 l unit 03H.C
TH1	GMO	6-cylinder diesel engine 3.0 l unit 059.K
TH2	GMO	4-cylinder SI engine 1.8 l unit 06H.B (aluminum)
TH3	GMO	4-cylinder diesel engine 2.0 l unit 03L.B
TH4	GMO	3-cylinder SI engine 1.0 l unit 04C.C
TH5	GMO	4-cylinder SI engine 2.0 l unit 06H.M
TH6	GMO	4-cylinder SI engine 1.8 l unit 06J.4
TH7	GMO	16-cylinder SI engine 8.0 l unit 07E.1
TH8	GMO	4-cylinder SI engine 1.4 l unit 04E.C
TH9	GMO	6-cylinder SI engine 3.0 l unit 06M.B
TI0	GMO	8-cylinder SI engine 4.8 l unit 0P2.C
TI1	GMO	6-cylinder SI engine 3.6 l unit 0P1.C
TI2	GMO	6-cylinder SI engine 3.0 l unit 0P1.D
TI3	GMO	8-cylinder SI engine 4.8 l unit 0P2.B
TI4	GMO	8-cylinder diesel engine 4.0 l unit 057.F
TI5	GMO	4-cylinder SI engine 1.8 l unit 06K.K
TI6	GMO	4-cylinder SI engine 2.0 l unit 06K.L
TI7	GMO	4-cylinder diesel engine 1.6 l unit 04L.2
TI8	GMO	16-cylinder SI engine 8.0 l unit 07E.3
TI9	GMO	4-cylinder diesel engine 2.0 l unit 04L.H
TJ0	GMO	4-cylinder diesel engine 1.9 l unit 038.T
TJ1	GMO	4-cylinder diesel engine 1.6 l unit 04L.1
TJ2	GMO	4-cylinder SI engine 1.8 l unit 06J.1
TJ3	GMO	4-cylinder diesel engine 2.0 l unit 03L.D
TJ4	GMO	3-cylinder SI engine 1.0 l unit 04C.D
TJ5	GMO	4-cylinder SI engine 1.6 l unit 04E.3
TJ6	GMO	4-cylinder SI engine 2.0 l unit 06J.E
TJ7	GMO	4-cylinder SI engine 1.5 l unit 05E.A
TJ8	GMO	3-cylinder SI engine 1.0 l unit 04C.E
TJ9	GMO	3-cylinder SI engine 1.0 l unit 04C.F
TK0	GMO	4-cylinder SI engine 1.4 l unit 03C.1
TK1	GMO	4-cylinder diesel engine 2.0 l unit 03N.C
TK2	GMO	4-cylinder SI engine 1.8 l unit 06A.9
TK3	GMO	4-cylinder SI engine 1.4 l unit 03M.1
TK4	GMO	4-cylinder diesel engine 2.0 l unit 03N.D
TK5	GMO	4-cylinder SI engine 1.8 l unit 06K.E
TK6	GMO	4-cylinder SI engine 2.0 l unit 06G.G
TK7	GMO	8-cylinder SI engine 4.2 l unit 079.D (aluminum)
TK8	GMO	4-cylinder SI engine 1.4 l unit 04E.D
TK9	GMO	3-cylinder diesel engine 1.2 l unit 04B.B
TL0	GMO	4-cylinder SI engine 1.6 l unit 03C.2
TL1	GMO	4-cylinder SI engine 1.4 l unit 04E.A
TL2	GMO	4-cylinder SI engine 1.6 l unit 06G.1
TL3	GMO	6-cylinder SI engine 3.6 l unit 03H.Y
TL4	GMO	4-cylinder diesel engine 2.0 l unit 03L.L
TL5	GMO	4-cylinder SI engine 2.0 l unit 06K.F
TL6	GMO	4-cylinder SI engine 2.0 l unit 06H.H
TL7	GMO	16-cylinder SI engine 8.0 l unit 07F.2
TL8	GMO	4-cylinder SI engine 1.4 l unit 04E.E
TL9	GMO	4-cylinder SI engine 1.4 l unit 04E.H
TM0	GMO	4-cylinder diesel engine 2.0 l unit 03G.7
TM1	GMO	5-cylinder SI engine 2.5 l unit 07K.4
TM2	GMO	4-cylinder SI engine 2.0 l unit 06H.C
TM3	GMO	4-cylinder diesel engine 2.0 l unit 03L.C
TM4	GMO	4-cylinder diesel engine 2.0 l unit 03L.M
TM5	GMO	4-cylinder SI engine 1.4 l unit 04E.G
TM6	GMO	4-cylinder SI engine 2.0 l unit 06H.J
TM7	GMO	5-cylinder diesel engine 2.5 l unit 070.M
TM8	GMO	6-cylinder SI engine 3.0 l unit 06E.K
TM9	GMO	2-cylinder diesel engine 0.8 l unit 04F.2
TN0	GMO	4-cylinder diesel engine 2.0 l unit 03G.C
TN1	GMO	4-cylinder diesel engine 1.6 l unit 03L.2
TN2	GMO	4-cylinder SI engine 2.0 l unit 06G.D
TN3	GMO	4-cylinder diesel engine 2.0 l unit 03L.E
TN4	GMO	4-cylinder SI engine 1.4 l unit 03J.B
TN5	GMO	4-cylinder diesel engine 2.0 l unit 03L.T
TN6	GMO	4-cylinder SI engine 2.0 l unit 06J.F
TN7	GMO	5-cylinder diesel engine 2.5 l unit 070.N
TN8	GMO	8-cylinder SI engine 4.2 l unit 079.F
TN9	GMO	4-cylinder SI engine 2.0 l unit 06K.2
TP0	GMO	4-cylinder diesel engine 2.0 l unit 03G.8
TP1	GMO	4-cylinder SI engine 1.2 l unit 04E.B
TP2	GMO	4-cylinder SI engine 2.0 l unit 06B.Q
TP3	GMO	4-cylinder diesel engine 2.0 l unit 03L.F
TP4	GMO	4-cylinder diesel engine 2.0 l unit 03L.P
TP5	GMO	4-cylinder diesel engine 2.0 l unit 03L.U
TP6	GMO	4-cylinder SI engine 2.0 l unit 06K.A
TP7	GMO	5-cylinder diesel engine 2.5 l unit 070.P
TP8	GMO	4-cyl. diesel engine 2.8 l unit 07W.M
TP9	GMO	Engine for engine PR code D5V
TQ0	GMO	4-cylinder diesel engine 2.0 l unit 03G.D
TQ1	GMO	4-cylinder SI engine 1.4 l unit 04E.1
TQ2	GMO	4-cylinder SI engine 2.0 l unit 06J.B
TQ3	GMO	4-cylinder SI engine 1.4 l unit 03C.L
TQ4	GMO	4-cylinder diesel engine 2.0 l unit 04L.K
TQ5	GMO	4-cylinder diesel engine 2.0 l unit 03L.Y
TQ6	GMO	4-cylinder SI engine 1.8 l unit 06L.A
TQ7	GMO	5-cylinder SI engine 2.5 l unit 07K.2
TQ8	GMO	12-cylinder SI engine 6.5 l unit 07M.C
TQ9	GMO	6-cylinder SI engine 3.6 l unit 0P1.B
TR0	GMO	4-cylinder diesel engine 2.0 l unit 03G.9
TR1	GMO	4-cylinder diesel engine 2.0 l unit 04L.A
TR2	GMO	6-cylinder SI engine 3.2 l unit 06E.E
TR3	GMO	4-cylinder SI engine 1.4 l unit 037.P
TR4	GMO	4-cylinder diesel engine 2.0 l unit 03L.N
TR5	GMO	4-cylinder SI engine 1.4 l unit 03J.C
TR6	GMO	4-cylinder SI engine 2.0 l unit 06J.G
TR7	GMO	12-cylinder SI engine 6.2 l unit 07M.A (aluminum)
TR8	GMO	8-cylinder SI engine 6.8 l unit 07V.A
TR9	GMO	Unit for engine PR code D5Z
TS0	GMO	4-cylinder SI engine 1.0 l unit 03J.1
TS1	GMO	4-cylinder diesel engine 2.0 l unit 04L.B
TS2	GMO	6-cylinder SI engine 2.4 l unit 06E.F
TS3	GMO	4-cylinder diesel engine 2.0 l unit 03N.A
TS4	GMO	3-cylinder diesel engine 1.2 l unit 03P.A
TS5	GMO	6-cylinder SI engine 3.0 l unit 03H.F
TS6	GMO	4-cylinder SI engine 2.0 l unit 06J.H
TS7	GMO	12-cylinder SI engine 6.5 l unit 07M.B (aluminum)
TS8	GMO	6-cylinder diesel engine 3.0 l unit 059.L
TS9	GMO	Unit for engine PR code D6V
TT0	GMO	4-cylinder SI engine 1.6 l unit 03C.J
TT1	GMO	4-cylinder SI engine 1.4 l unit 036.R
TT2	GMO	4-cylinder SI engine 1.8 l unit 06J.2
TT3	GMO	4-cylinder SI engine 1.4 l unit 03C.M
TT4	GMO	4-cylinder SI engine 1.6 l unit 03J.A
TT5	GMO	4-cylinder SI engine 1.0 l unit 030.9
TT6	GMO	4-cylinder SI engine 2.0 l unit 06K.C
TT7	GMO	10-cylinder SI engine 5.0 l unit 07L.B (aluminum)
TT8	GMO	10-cylinder SI engine 5.2 l unit 07L.V
TT9	GMO	8-cylinder SI engine 4.8 l unit 0XX.E
TU0	GMO	4-cylinder SI engine 1.4 l unit 03C.K
TU1	GMO	4-cylinder SI engine 1.4 l unit 03C.P
TU2	GMO	4-cylinder SI engine 2.0 l unit 06J.C
TU3	GMO	4-cylinder diesel engine 2.0 l unit 03L.H
TU4	GMO	4-cylinder diesel engine 2.0 l unit 03L.R
TU5	GMO	6-cylinder SI engine 3.0 l unit 03H.G
TU6	GMO	4-cylinder SI engine 2.0 l unit 06H.L
TU7	GMO	10-cylinder SI engine 5.2 l unit 07L.Y (aluminum)
TU8	GMO	6-cylinder diesel engine 3.0 l unit 059.M
TU9	GMO	Unit for engine PR code DH2
TV0	GMO	6-cylinder SI engine 3.6 l unit 03H.D
TV1	GMO	6-cylinder SI engine 3.6 l unit 03H.X
TV2	GMO	4-cylinder SI engine 2.0 l unit 06H.E
TV3	GMO	4-cylinder diesel engine 2.0 l unit 03L.G
TV4	GMO	4-cylinder diesel engine 2.0 l unit 03L.S
TV5	GMO	4-cylinder SI engine 1.6 l unit 03C.R
TV6	GMO	4-cylinder SI engine 1.6 l unit 06B.S
TV7	GMO	8-cylinder SI engine 4.0 l unit 079.E
TV8	GMO	6-cylinder SI engine 2.9 l unit 06M.A
TV9	GMO	12-cylinder SI engine 6.3 l unit 07P.C
TW0	GMO	4-cylinder SI engine 1.2 l unit 03F.B
TW1	GMO	4-cylinder diesel engine 2.0 l unit 03L.J
TW2	GMO	4-cylinder SI engine 1.8 l unit 06H.D
TW3	GMO	4-cylinder diesel engine 2.0 l unit 03L.K
TW4	GMO	4-cylinder SI engine 1.4 l unit 03C.N
TW5	GMO	4-cylinder diesel engine 2.0 l unit 03L.V
TW6	GMO	4-cylinder SI engine 2.0 l unit 06L.B
TW7	GMO	4-cyl. diesel engine 2.8 l unit 07W.N
TW8	GMO	4-cylinder SI engine 1.4 l unit 04E.J
TW9	GMO	3-cylinder SI engine 1.0 l unit 04C.G
TX0	GMO	4-cylinder diesel engine 4.3 l unit 0....
TX1	GMO	4-cylinder diesel engine 3.9 l unit 0....
TX2	GMO	4-cylinder diesel engine 4.8 l unit 0....
TX3	GMO	6-cylinder diesel engine 6.5 l unit 0....
TX4	GMO	4-cylinder diesel engine 3.0 l unit 0....
TX5	GMO	4-cylinder SI engine 2.0 l unit 06L.P
TX6	GMO	4-cylinder SI engine 2.0 l unit 06L.N
TX7	GMO	12-cylinder SI engine 6.3 l unit 07P.A
TX8	GMO	4-cylinder SI engine 2.0 l unit 06K.3
TX9	GMO	4-cylinder SI engine 2.0 l unit 06K.4
TY0	GMO	6-cylinder diesel engine 5.9 l unit 0....
TY1	GMO	6-cylinder diesel engine 5.9 l unit 0....
TY2	GMO	6-cylinder diesel engine 7.2 l unit 0
TY3	GMO	6-cylinder diesel engine 8.3 l unit 0....
TY4	GMO	6-cylinder diesel engine 8.3 l unit 07W.S
TY5	GMO	6-cylinder diesel engine 9.3 l unit 0....
TY6	GMO	4-cylinder diesel engine 3.9 l unit 07W.V
TY7	GMO	6-cylinder diesel engine 5.9 l unit 07W.W
TY8	GMO	6-cylinder diesel engine 5.9 l unit 07W.Y
TY9	GMO	4-cylinder diesel engine 3.9 l unit 07W.Z
TZ0	GMO	6-cylinder diesel engine 10.8 l unit 07W.T
TZ1	GMO	4-cylinder diesel engine 4.8 l unit 063.C
TZ2	GMO	6-cylinder turbo diesel engine 8.9 l unit 07W.D
TZ3	GMO	6-cylinder turbo diesel engine 6.7 l unit 07W.P
TZ4	GMO	4-cylinder diesel engine 3.9 l unit 07W.R
TZ5	GMO	4-cylinder turbo diesel engine 3.8 l unit 07W.E
TZ6	GMO	6-cylinder turbo diesel engine 6.87 l unit 07W.K
TZ7	GMO	4-cylinder turbo diesel engine 4.85 l unit 07W.L
TZ8	GMO	6-cylinder turbo diesel engine 12.4 l unit 07W.J
TZ9	GMO	Unit not designated
U00	RAD	Alloy wheels 8.5J x 19
U01	RAD	Alloy wheels 10J x 21
U02	RAD	Alloy wheels 10J x 21
U03	RAD	Alloy wheels 10J x 22
U04	RAD	Alloy wheels 10J x 22
U05	RAD	Alloy wheels 9J x 20
U06	RAD	Alloy wheels 9J x 19
U07	RAD	Alloy wheels 8J x 20
U08	RAD	Alloy wheels 6J x 17
U09	RAD	Alloy wheels 6.5J x 16
U0A	INS	Instrument cluster, km/h speedometer only
U0B	INS	Instrument cluster with clock km/h speedometer
U0C	INS	Instrument cluster with tachometer, clock and km/h speedometer
U0D	INS	Instrument cluster w/ mph speedo, clock,tachometer, trip odometer a. add. instr.(volt, oil temp.) w/ special color trim
U0E	INS	Instrument cluster with tachometer, trip-odometer, km/h speedometer
U0F	INS	Instrument cluster with tachometer, clock, and mph speedometer
U0G	INS	Instrument cluster with tachometer
U0H	INS	Instrument cluster with tachometer, mph speedometer, and trip odometer
U0J	INS	Instrument cluster with trip odometer, km/h speedometer
U0K	INS	Instrument cluster with clock, mph speedometer
U0L	INS	Instrument cluster with tachometer, clock, and mph speedometer
U0M	INS	Instrument cluster with tachometer, tripodometer, km/h speedometer
U0N	INS	Instrument cluster with mph speedometer,tachometer, trip odometer
U0P	INS	Instrument cluster with tachometer, clock, and km/h speedometer
U0Q	INS	Instrument cluster, km/h speedometer
U0R	INS	Instrument cluster -- Basic version --
U0S	INS	Instrument cluster, mph speedometer
U0T	INS	Instrument cluster with km/h speedometer, clock, and tachometer
U0U	INS	Instrument cluster -- Comfort version --
U0V	INS	Instrument cluster for tachograph
U0W	INS	Instrument cluster -- Premium version --
U0X	INS	Instrument cluster with tachometer for tachograph
U0Y	INS	Instrument cluster with km/h speedometer, clock, for special transmission ratio
U10	RAD	Alloy wheels 7J x 17
U11	RAD	Alloy wheels 6.5J x 16
U12	RAD	Cast alloy wheels 7J x 17
U13	RAD	Cast alloy wheels 8J x 18
U14	RAD	Cast alloy wheels 8J x 19
U15	RAD	Cast alloy wheels 7 J x 17
U16	RAD	Cast alloy wheels 8J x 18
U17	RAD	Alloy wheels 5.5J x 15
